CR560Q03TT,CR560Q08TT,CR565Q02TT,CR565Q05TT,CR455Q02TT,CR544Q10TT,CR544Q13TT,CR551Q01TT,CR551Q09TT,CR551Q11TT,CR551Q05TT,CR551Q08TT
99413,91575,114920,68722,79926,70927,168259,32844,70834,60330,94940,96993
80293,23404,79591,70220,85116,102226,100753,80835,11989,149195,35773,49709
129997,41093,72638,64618,100900,194511,135077,132069,50095,119121,49040,41080
106499,17655,61809,76397,147219,158886,229075,84209,11755,189086,59816,67433
136194,20235,98585,56466,70126,130514,113539,92084,43355,145489,82886,26429
75596,52436,291233,122700,132163,80085,291917,49107,51268,236938,165026,44839
138250,21959,98955,67833,104700,165955,74025,219125,11341,77792,67588,35144
46364,42846,94558,78875,123264,57707,94643,37838,42541,218816,75677,66486
146475,60765,110986,145536,107852,153915,161943,121501,19053,59108,83681,83937
60272,48376,51825,75453,49634,81239,55333,101104,9313,202416,95284,68737
100775,98026,157002,110998,146159,62582,91574,34996,65871,154457,116430,51175
111969,62464,100619,56431,49850,93636,97199,76402,33535,60908,94614,53774
157403,56497,86356,107227,106878,80025,88637,76509,45585,68654,82792,43625
46447,62549,117269,70505,218592,76937,157955,30406,39683,11832,65312,19584
104200,33396,122846,58121,264304,48726,43047,45348,27602,93727,64515,48863
158113,47175,100501,120824,239348,36211,72222,39616,35061,114454,82787,46479
128774,77343,268940,184552,279732,110741,148404,87618,31272,32607,104343,28733
147452,17735,236793,12544,131533,149715,115109,242835,11141,117299,71680,69409
189629,25869,78491,75060,119549,237785,115895,52898,23068,99039,76632,108695
52413,33302,68986,58389,63611,29445,262328,115712,43286,300718,100250,35561
87911,62105,193492,150158,103481,26676,140161,42067,74526,63981,69339,48409
78443,45327,165587,140326,144187,56205,141214,106602,89096,64045,86068,48980
285171,43820,65679,59134,126645,30905,58523,220313,24789,26794,74744,14612
48864,49746,105789,55280,98590,81050,69515,100520,43980,254627,51672,56320
8383,24420,53249,22300,70323,11708,24422,86782,61778,66323,143727,31134
163715,18351,171949,88112,181425,178824,147272,127141,15776,103647,54824,70304
143274,17351,53905,94446,86750,188048,32583,101526,26943,17003,19646,78567
52659,36392,140748,136250,69827,24891,146368,96826,25796,86640,95722,31340
79602,21514,73538,73082,122509,59509,91240,26417,19891,132407,90244,104187
121991,27603,113723,89626,144423,127772,320406,93189,11655,198307,94530,86376
51346,53724,86535,39969,129192,65770,150326,56849,60836,156475,90976,49558
143837,38280,103402,142145,177339,84762,46431,67121,23978,36228,37196,43641
60677,47953,327442,50545,100748,78910,138248,50951,57317,166408,100814,43805
54533,24289,128836,34702,121193,230443,83362,199776,23439,19711,128488,24009
123237,47904,70791,62257,125868,149311,118506,71301,20430,197552,48190,154078
95119,68922,159109,87226,123232,133490,210710,104220,40735,114158,71495,78823
68054,34572,62528,58827,85712,19776,90639,47804,115475,46505,52479,47118
139569,64450,63086,86892,113086,106051,69903,210792,24401,270736,53340,75160
100764,44770,293517,66954,124555,115808,117737,142375,21277,164662,65069,82751
96620,45022,123135,249364,208946,67217,136151,52952,68044,51274,94335,73875
125272,32537,99707,50524,121176,117473,89692,78951,8627,91594,100139,72862
147524,44084,25314,168990,71978,38690,16149,80691,1986,5698,67819,3253
146816,16574,58863,71083,57469,175364,45061,144353,17433,42630,18734,66864
94978,18904,87609,88608,65114,106730,124807,51223,11524,219818,26303,48615
219515,50747,179397,201717,251560,114954,136581,61317,52037,94278,64413,57257
62078,76471,112905,124394,142327,106098,120416,21067,48176,175802,30854,59844
86912,47465,169796,114452,78482,109603,119691,101116,46881,257310,69402,32045
75539,30104,163311,125537,112020,54796,72224,31275,28246,112251,77336,31303
213302,33086,175729,160259,204311,87399,184562,21311,16380,37789,76339,26499
164395,15354,134363,57308,63079,205653,69396,138316,17540,95936,52020,75936
107882,121761,383866,97267,84689,125778,57609,51893,38409,138196,75191,37388
68335,55116,85648,92353,90620,37537,258517,206634,33361,139561,53951,84070
111016,40567,97927,242927,202250,140601,89383,62185,44636,147154,176721,69408
43001,39233,47458,114326,85919,68442,196987,71643,38012,105156,62976,45500
124317,43784,101453,58706,124435,98975,79270,39328,55210,105621,63938,52710
115681,60056,116042,94841,71676,38014,245560,37730,19333,156325,44877,79223
63683,56977,139839,155729,142486,103497,108882,65776,37403,167436,56285,37713
178647,21782,145848,87681,109392,67983,246852,75419,50608,145657,107434,72698
141773,61302,98738,81514,189693,79940,162032,80781,51394,105339,116138,46308
357512,23892,100340,100296,119975,57581,55939,35299,4249,19386,197633,10042
84219,48708,182367,190497,120507,89022,189331,94317,20630,197180,135263,102302
115203,50498,133918,57039,71397,156960,150624,35585,15262,116788,273857,78548
103625,106103,142763,161142,247329,105256,55103,109671,40825,81932,49250,72562
234355,22025,118022,71797,77448,211993,80003,138295,33283,84579,65425,98891
87952,62814,77245,100919,113609,45867,128872,39430,72761,53849,106314,57104
80235,97024,98634,151658,86498,69933,231176,39720,47621,132785,60037,60845
22801,38151,62133,95188,77626,16607,66021,118511,7221,145418,57096,33311
115419,71887,71524,34415,88267,124459,367474,141359,11865,132936,56884,120470
90555,38673,82460,87687,169578,122379,143591,169346,39507,134090,35354,89943
110231,80593,71094,62122,185957,127164,133707,84399,36162,211040,92766,54165
150571,23801,225731,101112,86683,197391,162140,28660,81840,84736,140783,50009
42036,20896,40039,17224,34428,145417,58247,47318,29166,74319,34921,68722
169158,76877,215941,53057,98937,14178,40933,53126,11498,25215,59187,84746
224056,28503,137127,196893,168626,20695,206727,32076,14815,86040,97776,45544
235958,116335,149198,85082,166139,92163,46516,121759,41222,69174,40621,53900
184805,33288,192124,106038,158204,64828,66211,139650,32373,128875,59793,88396
103401,32133,62368,51271,79204,114944,296274,152020,23056,83569,77127,69533
87560,130284,122631,235175,33905,90490,86818,94246,21312,74475,53497,38117
71039,48840,50967,47281,20067,36387,55552,45500,9220,88087,48139,54914
41029,13791,50915,27030,44579,9586,44988,45506,27479,44553,44988,15562
115775,51958,104850,154520,150728,106734,336801,205296,44855,193649,36872,23224
111818,30809,121007,54887,110250,64741,157414,49130,49159,146893,122752,94720
84425,17727,67316,249469,67100,48568,96935,87193,54683,94776,160311,23771
133236,13153,62742,89903,401399,125138,73968,74838,13730,58563,28940,41551
74578,95819,127922,119724,115067,180088,154651,75661,16601,118508,50402,69650
158840,77471,161410,193382,90800,238644,71277,139481,21919,126130,29744,67912
103922,41245,140434,100328,104868,87466,103571,45278,64498,129707,66873,77348
140109,15113,132212,76962,137478,129700,189023,74224,26696,111385,159268,76060
182739,45197,64657,65006,135508,233683,63546,189960,45401,111451,45050,105312
85011,83009,137564,189911,195099,93179,147786,176464,31792,118468,100141,32246
34317,33454,72173,143936,99254,84236,118993,96635,62414,163347,62633,81319
58505,114871,110584,105580,100798,181003,29508,20267,16748,118652,80558,71712
137583,20158,142556,118560,146436,187640,108964,22685,22421,98994,36692,74064
134276,50046,121710,81436,159084,143037,76155,171909,87166,126550,37387,57863
29065,26921,80648,127338,85467,56026,154846,127943,6151,128882,30386,13295
94220,43640,74829,75675,134177,86576,108075,65391,24207,131119,31132,97693
34908,39312,47820,45476,48307,106626,62813,28096,26048,52782,32975,61051
104618,72852,108064,92549,121634,137985,146723,51696,30003,22791,17307,19457
89044,61897,202714,274849,88354,26695,74712,39964,13746,126467,106851,24481
105798,25291,125284,228830,80639,143698,284145,85972,9322,174907,41528,65045
185686,64009,91953,82893,100569,92083,49656,77825,37347,91812,78236,28809
59071,36374,77710,43634,83505,40214,85337,48008,59236,18374,47858,30261
112103,57737,136924,132170,217719,120376,126312,107420,33797,300004,111391,94415
79786,41194,161487,119138,145048,158915,215662,56637,10274,375903,111962,101908
48710,57292,157905,128456,83564,186226,280345,152788,88930,209525,32222,49222
97483,44905,66529,65662,64835,53550,40579,78685,25146,46030,68822,31933
85827,82553,179077,60839,141617,128259,126537,26441,66376,225046,80096,82264
110037,53747,135511,108915,96013,36566,261015,64136,15823,215951,87520,109141
106772,85489,132601,105407,112341,146099,152509,88313,55323,62263,127740,108215
108175,45591,256767,136727,193752,55629,110251,57274,78195,112395,66033,25284
119178,84963,117423,103864,101179,202027,89830,148323,12649,161015,77506,114627
125390,14979,187531,91102,200686,135578,202352,141108,26683,57886,29582,67536
76080,130033,70206,99368,90865,69455,105108,58397,61453,200615,57258,109708
158236,16539,198330,247072,81165,213528,159515,120209,14418,172232,96722,140096
100962,48487,138276,211247,222962,66125,81063,38667,28512,44973,41277,61740
107475,62413,196575,114307,197399,57588,183217,134719,53312,53704,112784,143668
64531,28166,89117,94994,95809,33878,93751,34640,44052,82589,69724,45453
21000,28112,99240,41365,20858,22507,38630,41400,15660,121681,107840,19458
180037,18977,111183,58880,145510,232968,83831,195312,44157,52115,101621,38726
106777,59363,131231,124845,195445,108529,216830,100730,41110,225819,58308,53379
52321,81414,118608,72699,207236,147065,125670,99717,85293,100036,89869,114354
41413,49556,81066,75069,63994,19321,46229,51546,37495,78028,46189,45937
72779,24680,141381,105670,46758,105901,147506,78588,21051,217643,65992,98992
87313,79937,146130,66431,124949,134971,75787,108341,57981,98832,118101,92173
161696,25116,90241,104933,68941,129074,58622,35601,42476,119228,106405,64832
67706,41040,86165,45964,66941,53442,65990,105560,30204,131555,58625,59502
85029,25460,75502,72864,79374,95228,94300,75907,40117,31811,47476,133903
57504,76971,104439,85204,129112,115951,99701,46589,18481,85781,71408,92669
63317,33786,171108,46598,49078,105086,52664,122047,12658,77616,32562,17576
124173,20126,119935,86901,118631,126835,93027,149363,53000,90667,46003,27792
230422,40700,155752,114176,112396,198500,165251,34258,22111,65460,29075,123728
64009,57408,112674,55222,56659,41153,76864,27287,63139,121344,91153,58368
172503,47702,123715,64399,70503,27838,65166,125623,60586,67077,25133,53285
72684,58035,107829,108716,97146,136859,200129,27896,11185,265545,119790,101450
169302,98370,270790,74470,168974,81966,113538,60844,50216,77584,109052,91238
159011,68855,113027,134373,64206,56302,76804,35375,49485,74593,120770,34135
48384,46902,120481,143561,132894,36986,96216,96651,22016,99884,99471,35280
206697,57564,122240,107682,230115,79716,76941,89880,51690,45026,141025,33271
110143,53836,185820,121454,99730,176783,127306,26742,20580,85901,82130,143569
67339,35005,74878,40886,143114,105794,112257,29442,19435,119116,74694,87589
68251,44695,74098,101001,102439,83325,63091,39393,26841,159366,36930,21809
136426,12119,149408,219330,102243,121456,149522,44032,50964,351355,111885,60826
222795,42717,117535,194300,319158,196772,23060,107641,17307,56141,46384,94450
85510,90987,94679,92923,86013,74364,111112,89345,50293,143367,41948,47858
61381,76413,124150,135236,380716,125017,212751,122259,62017,188894,30039,140681
84578,83388,94314,124780,165092,122547,182469,100173,55094,93192,96213,88412
84514,37637,112675,87596,149052,108401,77813,84296,35289,181736,155960,41215
47508,47633,99548,30284,59483,41450,66921,61811,34545,119192,37537,74016
74055,68628,137190,93002,42129,63447,43645,74588,186405,170357,80288,18444
38259,54490,131676,74013,116438,39926,94099,65328,50508,276290,60019,56306
111604,24300,176625,152812,45047,182697,44400,151076,37228,345889,63512,123145
138723,18875,48643,43064,101851,157501,28063,229766,9181,29724,32230,23538
154773,40002,150001,93043,76771,59106,67434,26119,19713,131003,57908,87592
60596,67402,147711,77815,148898,15375,85475,33763,28966,43365,30486,84305
186995,37879,78420,58017,120953,181071,51490,130620,41491,79365,60131,22570
137111,23095,182846,113664,100273,91214,208142,83365,12087,189049,62108,71679
49720,27793,85358,115359,201621,71794,346287,46594,24732,260552,134255,69109
1264,18967,49176,63859,108902,94890,93234,112952,26688,155698,44911,47958
188905,26151,130022,131847,131460,154494,118289,108324,24003,126164,73004,167763
175011,22775,67158,84551,85858,245917,72358,52997,34621,80277,39098,131371
54676,30107,56639,72878,80403,102241,39922,74338,28932,67259,29196,46986
86449,34837,80030,113313,57837,110683,197670,34034,53634,100758,53825,35257
132303,64840,112486,67353,144079,169167,86245,197181,23631,201922,67018,73696
31218,28722,65945,92440,88888,18408,127987,97205,23928,36112,73299,69216
103302,57491,119720,141614,73080,82385,183231,38548,35997,150518,78892,86869
166080,26320,103808,30991,93856,268801,65645,211719,18916,38800,44917,105009
129536,44726,175070,108504,97095,130760,188173,184922,110873,166145,105209,38033
75833,28412,147333,107693,87263,112229,129728,77692,71447,97662,57782,42829
41526,132397,136186,500025,124278,35728,128327,29707,2796,325589,23034,6299
52806,45635,239673,115267,113964,91729,163487,54330,58972,141706,60792,60341
153214,30092,122619,80647,88728,113425,45794,169850,9803,223230,40125,45058
72940,81142,111380,39316,50264,140662,175849,72569,38354,417493,119989,67850
58821,71247,74740,46917,61866,55061,39148,44838,87009,74078,77526,17386
344831,45226,179689,131909,93119,121123,178157,71396,44241,74582,60454,28715
118411,52369,94338,104098,128808,200374,70338,41614,50947,346297,84690,45965
33938,35214,88159,59965,58626,81082,130290,46886,24778,81400,39732,41836
120527,34687,162088,108742,87295,175545,81246,88588,44843,208443,77157,61980
91470,88245,127891,62212,122345,293607,82010,88190,62438,63575,118641,19206
65591,33886,93485,121066,118733,64686,166686,28023,23627,245513,53296,42417
61240,59689,65234,56678,51115,48865,98121,13500,41938,54162,53357,65956
36334,36257,63112,208797,85055,15653,36316,80157,14093,44144,52414,30369
102423,44645,152761,99334,109942,64641,186102,110959,73333,278516,78301,84999
154580,48984,402887,159320,153240,39431,83995,61794,20735,62742,43894,38097
208088,71102,213456,127358,218455,129945,181163,130932,26590,21241,69602,50307
124973,51483,191015,60677,137645,145421,160143,92434,50968,143445,154864,71567
37696,45135,103585,78124,59705,48062,72728,57855,26500,85529,73925,43450
156240,32723,72474,110379,116340,282335,115800,149020,29671,127409,75791,121702
82320,44742,146296,116034,173691,156919,132226,94961,19644,193417,51553,90525
220218,21045,265447,79005,121895,242932,35743,56683,31229,35116,81319,39693
103679,61831,335526,106677,122379,89027,206118,65180,11633,214298,68311,45174
131727,45430,177326,117655,184382,109435,136749,59373,22947,107673,14510,85544
131224,41023,99594,55942,114467,78267,168800,56367,47809,167957,52600,48876
107563,11858,203464,85260,339692,142538,250414,90228,16696,316062,108495,43188
58634,46684,81704,62705,108351,55444,135739,64568,47896,72232,48256,50601
72839,78106,57605,44234,54607,122223,245136,82130,50147,215800,68828,186899
90455,58899,256848,94243,106437,134601,106326,44261,19747,131783,121602,37082
103968,18755,92704,89334,85198,114131,74464,143477,24210,62518,60468,24317
62363,41112,118950,60530,101348,38158,86034,64139,108184,145899,155500,52735
137240,49828,98753,215607,114241,24612,161853,71268,31976,75875,111274,78956
53595,117605,61435,98392,123553,55233,68220,41230,28886,423049,79844,37520
63614,51261,113131,114604,74071,97563,248198,87326,38819,164981,49599,101036
131682,62772,140697,93070,97182,116331,94052,91347,39991,92052,60770,26539
48918,29592,70904,40296,107590,34574,80158,43256,44681,126580,64108,49017
209258,33071,55799,33981,89175,233591,111780,138516,24008,47993,75832,63548
79957,22697,98875,90642,31688,26113,37990,75024,20592,119587,79768,41794
120135,35840,146516,96708,73560,128112,149654,76661,56518,69486,78082,41952
118837,33408,186508,385390,315498,91391,74412,135187,51232,205884,112140,18426
128863,48943,89378,47448,52476,109369,114687,30972,58271,97831,29203,59970
136059,23277,95998,64875,114710,163868,99810,236224,11809,181568,31369,13340
164927,72275,191426,28311,109206,141263,72834,118568,39360,39677,48355,59382
128913,77968,131560,111503,82495,126329,61842,43863,26480,58690,32148,29876
116221,45483,118260,83907,105356,89029,140414,161181,57835,99773,91400,71918
188288,26477,75571,71101,132296,191653,60956,145124,13170,65013,47733,80124
206938,51820,319725,241172,109336,94312,103589,39088,20918,29789,44291,32367
63497,18224,62794,61115,77001,49972,61572,42186,14930,135241,68029,46973
53188,52427,67302,63167,121812,92378,66884,90193,42146,128277,79919,92050
32390,52602,168753,33541,140872,200499,68191,43388,10821,81887,117681,74081
116741,74413,175609,172298,213726,47440,84854,40466,21680,55388,33629,9373
124328,66997,268290,155388,171827,42670,110105,109494,72803,97550,143588,65930
104826,38770,85728,232949,210717,186706,140946,36582,94007,96584,72294,59781
188788,39130,100218,97035,162545,100847,135019,78535,50329,85855,52109,41207
175899,46415,134353,60956,113805,80376,139686,51917,22984,92878,165442,64362
202553,35541,149259,115695,105898,148009,43644,115425,70410,130779,53009,25220
68071,41303,158880,63244,101343,95653,35556,82892,53005,219024,63241,45683
111501,21914,79905,85545,88203,106388,116297,128589,122417,88239,74805,132208
164077,21579,177925,167719,160437,188404,109168,63492,68746,71856,80324,33031
191103,20553,229361,199179,315043,149620,143956,72998,33997,40176,97197,32173
112351,58332,234426,67364,171674,168883,63960,151970,48889,37085,32971,24511
63766,50166,143446,116746,98413,194596,140856,72324,12856,230929,80850,117292
250584,112151,199479,133969,102196,153735,83005,30823,34080,69868,49230,18857
93059,27765,143505,82180,123387,80318,43396,54137,28831,45627,175565,23973
191142,74680,96324,99933,191527,52034,57867,89241,33397,26348,46685,25419
176270,134731,93558,134290,217524,77543,67065,53351,53287,70756,61407,33712
103233,47334,190265,110958,186291,163277,116733,110878,35328,117523,45893,57613
151756,23879,125619,44573,92033,170797,101236,42638,15480,59639,132271,75279
104324,48535,82734,72202,97936,185979,89795,134098,16436,107926,65220,65241
157111,53957,261007,93777,156472,49605,62422,163622,63167,89419,41891,92771
186548,38715,93383,56742,154267,164296,81658,258253,18975,75537,29430,14338
236977,21328,96695,92845,98795,300237,71350,151569,13506,103349,82684,93072
84204,73492,83142,86416,114044,168044,60392,106912,36158,105341,98350,138085
139803,20835,107530,117204,113685,137939,125655,109917,7211,137502,60273,64425
130884,83676,137990,111305,70393,124630,218918,168272,30546,64963,66660,54297
82957,62719,207972,141085,203768,73143,90024,60876,49666,106268,138332,57672
239166,35256,190799,94918,143503,52961,111543,99733,30410,14087,87394,92698
56629,29126,108984,336306,115451,108118,113129,117983,72623,94122,58535,52971
180347,19823,208144,79341,118098,146079,84377,144150,28899,145476,45345,96869
96545,78322,121782,59906,65226,197171,90187,107482,12583,51600,19750,47964
181615,44057,108156,76276,100222,168698,66758,118280,23339,94373,73598,97862
114915,22749,212260,197966,177635,124819,179381,77768,17530,144254,96451,182800
177639,59726,116254,56510,68006,66368,84558,64254,94463,127787,54037,124105
113427,231521,172394,97167,131504,101913,73209,34976,51033,134298,102512,91577
53668,34257,112758,71283,83129,151786,88251,263254,19404,146855,68002,35537
181311,49933,97731,100768,114056,165202,105608,171070,12340,59776,50156,76265
130645,33430,87368,95991,93910,164501,13525,267523,19315,47879,50962,14171
61524,117199,259979,230946,282808,32141,62410,42394,53224,115101,55263,51139
184113,17940,182962,176029,148288,125247,90943,27480,29264,134402,67942,29657
234342,54819,121249,192185,101370,127325,100372,120078,12667,252981,169535,48596
62318,58371,102989,46215,79648,68096,117723,165026,45958,115664,61293,53831
25340,37687,96441,51670,124997,25182,36190,68476,80458,53266,120009,6986
18700,27130,189283,75501,110628,41041,112303,63331,18246,29522,44329,8753
154294,29952,56223,63234,65320,179228,88450,122333,20346,106208,77181,74080
78738,56305,149814,101551,96797,66214,111587,65948,45202,232699,107675,66714
156305,110574,133007,259387,176077,54551,52565,51354,11375,54950,48776,21760
118641,60927,140083,84762,134545,209558,70903,36040,11291,177372,102035,70928
195233,42205,113437,60459,77144,220048,89507,117896,54282,71701,60610,96738
175974,18133,193663,269669,171023,118174,95713,96216,8527,88344,102646,50193
116641,51593,200836,135933,187588,143268,180363,96809,20410,171049,109082,151601
149602,125924,114210,39756,186045,73907,53527,27679,37672,97294,131103,83702
122572,38659,115640,96080,156594,126756,172876,61043,15515,237271,55740,83499
102735,63558,123794,170050,142422,127255,75886,130181,12961,92624,48996,79730
197527,59368,165279,158844,172323,61364,43509,38227,11115,92623,74302,49591
291836,33101,294326,99864,186417,37456,65333,94114,31726,49408,39493,43084
100823,96012,136352,80330,62256,67251,102410,27486,5175,61886,54555,44898
111554,34530,185861,118016,70014,11207,115509,64427,43548,197960,65045,34122
244833,48940,173463,172190,202688,196120,127110,22149,16505,221929,64839,71097
133508,102638,165279,122432,130186,215603,110157,47103,39119,63408,81359,59001
132468,18656,133597,102466,178768,158890,113420,42977,12846,99153,108253,87439
103214,26927,155465,79412,121957,153047,99094,141826,45961,91866,63177,84611
85009,53084,202758,92653,195236,169021,145387,102613,55532,205375,139058,78788
71850,59570,190039,117076,200197,151089,89805,49232,5771,48415,63727,11054
262235,24090,217324,136946,114641,159260,92684,125566,18205,32533,65249,81113
342745,36807,162880,101578,161889,101000,20229,10030,27653,11249,10999,37851
120476,32268,68983,131604,86756,144406,128748,200120,18967,141368,50434,56239
227359,148802,139900,51986,114120,34701,85870,51002,42683,60717,139114,94683
393238,95276,176860,119069,210436,293636,115518,171857,18239,115517,132108,48708
78630,81719,131974,61951,131580,48362,60372,88724,26503,53884,123121,76260
193106,30526,314742,193100,191769,185894,92327,36109,7565,28422,54420,27951
158417,24752,327585,220277,115204,52613,45829,37178,25081,34979,53861,23778
291213,30224,142566,54593,102678,211208,31242,40734,38079,39642,48511,19962
262504,31061,160768,70091,129827,24913,31765,156631,25374,61218,78577,18933
175882,17490,79598,170474,208589,159772,85162,39155,38895,62629,162163,97351
204796,138399,209006,196898,227986,145775,123322,74505,72627,126093,125597,68095
41298,27146,77990,55699,131196,100933,96645,80521,37096,59318,51169,34502
188672,42921,199814,135143,180911,127690,106496,167172,16371,125526,68407,112887
308054,61499,185399,83441,128679,168825,37364,91538,7819,36004,97577,14073
220427,26021,85756,72916,116216,217418,116019,171565,9572,100109,107681,93276
298546,31032,259371,90879,138337,62968,57499,236802,15909,87024,40136,14292
113307,23026,141279,85083,91556,150634,91475,106940,12610,128838,47316,89665
60714,44548,137505,351012,97323,21051,57751,107191,44353,75104,61344,40452
104135,15529,231656,282352,102023,128473,169187,58405,22045,132751,113215,70433
190006,25900,245789,130548,181178,105458,64708,61082,53721,34996,65867,54815
225150,55074,252810,240197,170380,33314,68091,303102,24088,98806,85526,17280
200546,64377,179762,99360,111848,189232,98020,224732,47011,61670,48613,41364
141091,40733,218010,80177,129721,252696,103643,143142,16720,81609,40509,36149
153096,60806,147771,117186,128081,149221,75872,296267,12479,115538,58013,16926
116396,47917,137776,109088,108007,126539,101998,104942,20803,110808,59100,95495
297466,99460,425390,217840,274937,76148,99861,56923,35964,96053,63892,30662
170385,50375,72321,87011,164630,213708,91055,127661,17045,204660,199559,44302
47855,94692,90271,60405,162131,48688,120173,19418,59380,38329,73254,34812
155707,55438,137807,242135,94502,129059,94172,103203,14072,93738,50163,67913
108106,62118,92038,95996,111633,82271,331845,72234,32618,59041,29281,44374
236265,63300,264548,50460,179319,21255,61237,182533,11320,58419,105092,37294
176020,51746,171444,71409,117113,118265,96007,101102,10356,96202,61517,102420
127195,44038,106774,45648,85640,73643,67284,76094,31027,72957,55381,116392
185730,55199,76035,44439,83307,157108,95255,141735,14228,22160,18406,81103
280556,51027,259392,55065,158456,224835,70329,199427,18999,66733,80029,96118
125389,52010,94506,145998,113751,109556,42852,89210,29509,117549,107079,63981
272324,74713,259988,70008,178264,46152,151725,119431,21964,37650,89280,9471
272047,37212,75007,64904,126385,197036,46668,58590,34832,68446,147842,80623
214850,25377,169990,96014,94451,183203,66355,115839,16614,72205,54381,97307
49344,45937,152961,130234,138727,74541,160558,51348,23390,96596,92270,70039
32059,19746,47354,53589,56161,90641,26165,82189,15254,48363,63668,32703
199788,75186,119785,104165,139614,19694,27134,82114,50491,49396,54092,67221
58799,44020,164398,145571,105332,35745,168131,52290,26888,137863,69410,72636
102659,70813,310930,309661,151371,53148,106895,53270,22354,119513,60860,53018
147439,22993,277246,92289,98583,67032,87335,88941,35131,65967,122049,44934
121708,44404,87359,83833,64787,157402,180136,125578,27073,124763,60312,91665
185592,30794,89551,55916,99535,216187,105855,157679,11223,63766,36528,81106
114522,72330,103998,73848,161815,181222,136125,156653,36003,58339,82096,77750
206181,38796,84917,51044,72499,186439,91676,35034,24801,50356,48481,54229
103173,62591,127682,34185,73059,152732,21120,136351,34228,45436,81298,50957
170170,43053,108394,79012,219210,100866,209039,35179,47411,64879,73243,79224
155826,72024,277655,117513,102725,34251,26834,28937,48885,15124,31103,34604
106884,68193,73020,108816,66272,120785,96871,144269,30765,113616,34090,117586
96199,56045,136607,85799,72058,131380,94300,112729,18957,73956,60192,76913
77930,72809,231780,90061,113317,74626,150058,87941,35216,351968,114605,99177
129881,76838,163053,57040,115034,187612,189115,79118,16059,70297,47491,54110
73781,41812,94230,82540,94007,30214,223420,59867,41663,230908,49313,55543
239698,35688,101430,80907,157895,252329,61868,201228,46446,25860,20513,18718
68624,120546,57124,103917,191484,55337,158648,36284,44207,82330,66963,117487
168041,63335,148351,62262,138108,174985,181380,199645,36652,65853,75566,43020
47897,52533,74803,66370,62982,45335,38274,71742,7482,68980,27424,88755
66323,48075,96451,84320,80870,49573,72381,32494,36979,118593,68660,70134
80305,65895,279844,112498,117053,99463,290612,75497,65369,219591,129183,40158
122781,36118,103048,144984,130680,143684,117434,72045,13874,98053,63420,55372
103672,74962,98792,61924,44920,69137,50740,149544,30282,214346,86283,63649
104751,69781,312048,66393,77469,109168,247085,61388,37552,42077,65097,70927
83693,28238,108288,84700,111606,20068,49802,182553,66806,40639,27143,25329
88054,77638,151937,75540,120573,39756,23956,68059,39067,52250,96504,49602
128244,34482,158058,142124,166927,124541,139005,98462,25671,93494,122821,38704
197137,17675,124961,72775,111874,200727,141526,131955,14150,71668,25094,123231
152692,20729,130789,120317,99200,209007,50690,115018,20271,44137,32566,74754
98017,33300,234847,192112,126461,87407,105872,193919,14791,220834,36813,96418
119018,65417,242719,138789,78869,25203,19163,74024,20113,164809,90370,113433
83538,32223,149976,78593,85326,90642,164463,91598,11782,168405,75645,76760
93934,68034,166764,148910,154244,63168,80403,50593,47263,68470,63583,74259
86568,67009,139914,129362,155720,78571,79709,95236,15565,192666,52641,33315
129046,33829,227716,97248,56027,110200,221618,72029,34952,150246,73110,75453
203746,82581,180479,132700,61232,146317,102218,122227,22435,140293,61181,90730
92854,47601,70923,146921,162575,116844,218284,145640,28177,302845,110350,68195
122571,78719,124138,88965,133051,135056,103032,111859,33628,171808,82813,102433
40253,72417,142318,52528,59406,143232,72629,85135,21775,42272,36863,116901
76301,120494,237666,264566,68900,118342,192701,31360,20023,189419,121024,112608
116997,59004,124151,70175,146785,147988,115375,51840,77990,265432,158416,102130
100753,26403,110526,64964,116303,94244,35522,140541,33407,40644,33160,57130
97160,30337,43608,192430,73720,22544,52964,64302,65150,102361,50004,34494
180892,37719,225356,123126,106596,167062,187098,97361,18524,70478,76184,86373
112361,51974,109255,75017,78498,16726,49269,41696,34179,53838,41464,72724
51483,54379,70158,66791,66758,52398,52179,135391,31379,33261,21158,27553
85535,82113,165946,97159,218014,54194,110030,48847,35949,81651,50843,93752
116437,45710,128970,53274,96801,169464,130581,152854,21498,25548,15775,51484
66619,37228,62869,50223,88363,207241,149787,137771,33662,159879,85617,88030
48145,52948,90450,113672,39576,52716,89267,55455,26986,81696,45955,56414
248924,29409,116064,105140,91710,195448,162634,175328,29270,162261,100914,110455
61421,44378,96239,82063,57779,64335,151423,116418,30424,61388,54099,58545
108697,55006,94628,74572,84095,46605,62037,68843,19762,37373,56387,36096
118072,36976,192942,78300,111805,162988,86566,104192,27672,128616,39136,118509
280051,40058,99716,137964,117819,180243,144781,117529,22152,125062,68038,104869
99368,69241,136675,66978,219986,126158,199877,46662,16756,103514,48568,57702
95030,66628,94371,97904,106682,27344,62563,140563,40053,230279,54443,40530
192418,40428,120228,35226,129274,185655,61210,301612,20642,81406,70831,29177
177320,25757,113172,56222,79335,164821,117283,108348,39035,62938,56574,91556
175258,17067,261696,116136,109004,157442,128403,124023,18326,316837,50475,89061
64541,59889,218996,120590,179813,104291,126550,158420,27676,104694,82037,46984
196268,19838,141783,61123,96282,192105,216466,160435,69689,74003,71969,23345
